location,location_other,timezone,expenses,workspace,class_attendance,enrollment_changes,preferred_grading,flu_symptoms,tested,self_quarantined,know_positive,spring_break,harvard_handling,harvard_comments,govt_handling,govt_comments,normal_estimate,thoughts,year,gender,ethnicity,freshman_dorm,house,concentration
Family home,,-4,,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",6,,5,,2-3 months,,2022,Female,White,,Dunster,Molecular and Cellular Biology
A friend's house,,-4,300,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have changed classes to pass/fail,Optional pass/fail,Mild symptoms,No,I have not self-quarantined after leaving campus,Yes,"No, I cancelled spring break plans",3,,2,,3-6 months,"My dad has coronavirus so I was not able to go home. I stayed on campus for a while but it was horrible (very isolating, bagged lunches are sub-par) so I found a friend to stay with. ",2020,Female,White,,,
Family home,,-4,700,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,Mild symptoms,No,I have self-quarantinined from family and friends,Yes,"No, I cancelled spring break plans",2,,4,,2-3 months,,2022,Female,White,,Leverett,Human Evolutionary Biology
Family home,,-4,,I have reliable internet access but not a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",6,"Information dissemination was inefficient, and people were left in a lurch when it came to housing.",3,The congress can't seem to agree to help people without trying to screw a bunch of other people over long term and the president seems to revel in spreading misinformation in order to make himself look better.,2-3 months,,2023,Female,White,Straus,,History and Literature
Family home,,-4,500,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,Mild symptoms,No,I have self-quarantinined from family and friends,Yes,"No, I did not have spring break plans",5,"Would've liked more transparency early in the process. I understand why they gave administrators advance notice, but had we all been alerted at once (or even on the same day), it would have caused significantly less pain to many students. I am certain the reason they waited until the next morning was the tuition refund deadline. That is unacceptable. ",,Awful. Fucking awful.,2-3 months,,2022,Male,White,,Quincy,Special Concentrations
Personal apartment/housing,,-4,4000,I have a quiet space to work but not reliable internet access,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",3,5 days?,1,"Pure incompetence. Misinforming people as to the severity of the problem in order to save face when people’s lives are at stake. Delayed testing, ill-prepared, simply awful.",3-6 months,,2022,Female,Asian,,Currier,Integrative Biology
A friend's house,,-5,850,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",6,,3,,6-12 months,,2020,Female,Asian,N/A,Winthrop,English
On campus with exemption,,-4,128,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,Mild symptoms,No,I have self-quarantinined from family and friends,No,"No, I cancelled spring break plans",7,,2,not enough,3-6 months,Its a stressful time with both my twin sister and mother being at extreme risk of death due to pre-existing health condition. I don't know what is going to happen,2022,Male,White,,Adams,Chemistry
Family home,,-4,200,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",6,,1,,2-3 months,,2020,Male,White,Pennypacker,Pfoho,"Computer Science,    Linguistics"
Family home,,-4,0,I have neither a quiet space to work nor reliable internet access,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",8,,4,,2-3 months,,2023,Male,Asian,Hollis,,Integrative Biology
Family home,,-7,1000,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",10,Much better than most other universities.,1,,3-6 months,Internship mandated to be remote this summer,2022,Female,Asian,Hurlbut,Dunster,Computer Science
Family home,,-2,600,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,I have self-quarantinined from family and friends,No,"No, I did not have spring break plans",4,,5,,3-6 months,,2022,Male,Asian,,Leverett,Applied Mathematics
Family home,,-4,500,I have a quiet space to work but not reliable internet access,Not watching lectures,I have dropped classes,Universal pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",1,"Totally unreasonable to mandate that the entire student body evacuate campus (with all their belongings) within 5 days, with no help with storage and difficult-to-navigate financial aid for travel. Many people didn't have homes to go to, or homes that would produce emotional stress to return to. The failure to move to a pass/fail grading system, like the Law school and MIT, also feels like a misstep to me. Additionally, someone like me has to withdraw from the semester in order to help my family with bills and with taking care of young siblings, and Harvard is not promising me financial aid when I return (I am a recipient of full aid and will not be able to attend school otherwise).",4,,3-6 months,Crazy how far-removed we felt from this even two weeks ago.,2020,Male,Hispanic or Latino,Canaday,Dudley,Computer Science
Family home,,-7,600,I have reliable internet access but not a quiet space to work,Watching recorded lecture,I have not made grading or enrollment changes,Universal A/A-,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I did not have spring break plans",6,,3,,3-6 months,,2022,Male,White,,Mather,Chemistry
Family home,,-5,750,I have reliable internet access but not a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,I have not self-quarantined after leaving campus,No,"No, I did not have spring break plans",5,"We deserve more money in aid, refunds for room and board.",6,,2-3 months,,2023,Female,White,Thayer,,Government
Family home,,-4,200,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",8,It was going to be messy no matter what.,5,"Trump is an idiot, but everyone else is doing their best.",2-3 months,I'm so deeply upset to be missing college on campus.,2021,Female,White,,Mather,Music
Family home,,-3,0,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I did not have spring break plans",7,"Did well by alerting us about move-out early (compared to other schools), but not as financially accommodating as it could have been. (Why couldn't Harvard subsidize all flights/storage/shipping?) Also, the entire tone of the response was a little lacking in sympathy. Wish they'd been more transparent about coronavirus cases on campus, and as solicited grading policy feedback directly from students instead of allowing the UC to play that role. Wish they'd set up more events for seniors and encouraged the community to come together more.",3,,2-3 months,,2021,Female,Asian,N/A,Kirkland,"    Philosophy,    Statistics"
Family home,,-4,300,I have reliable internet access and a quiet space to work,Watching live on Zoom,Both,Universal A/A-,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",6,,2,,2-3 months,,2022,Female,White,Canaday,Dunster,"Anthropology, Human Evolutionary Biology"
Family home,,-7,130,I have a quiet space to work but not reliable internet access,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",3,,1,,2-3 months,,2020,Female,Asian,,Eliot,Electrical Engineering
Family home,,-5,600,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have dropped classes,Universal A/A-,Severe symptoms,Yes,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",4,"I am most frustrated with the availability of information. We’ve gotten very little information and it’s always at the last minute, which creates a lot of chaos and speculation. ",3,,3-6 months,,2022,Female,White,,Cabot,History
Family home,,-4,500,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",9,"Was a little shocked in the short run, but realize in retrospect that getting us to move our things off campus was the correct decision. ",8,,2-3 months,,2023,Male,White,Matthews,,Applied Mathematics
On campus with exemption,,-4,700,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",5,"I think the choice to send everyone home was the right one (even though I'm upset about it). They should have canceled classes for that week because I had to spend a lot of my spring break making up for classes that I missed because I was not logistically or emotionally up for going to class. Additionally, they should have thought about logistical considerations before they announced the email, as I spent a lot of unnecessary money trying to figure things out before I understood what would be available. Also, they should have advised professors to respect spring break; I had a lot of assignments due over spring break that were pushed from the week before. I understand that professors' schedules were messed up, but our entire lives were messed up and it takes at least a week to adjust to being home again.",3,"There should be a national lockdown for 3 weeks. Now, many states will have to do it on their own on different time scales, which will only prolong the process. They should also divert manufacturing resources to creating hospital supplies. There should also be protections for workers who are at risk of losing their jobs, tenants who can't pay rent, and small business owners who have had to close their doors. Honestly, a full moratorium on debt/rent payments would be appropriate.",3-6 months,,2020,Female,Black or African American,N/A,Eliot,Applied Mathematics
Family home,,,,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",4,,3,,3-6 months,,2020,Female,White,,Winthrop,Computer Science
Family home,,-7,400,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",5,,4,,3-6 months,,2022,Male,"White,Asian",,Kirkland,Applied Mathematics
Family home,,-4,200,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,I have not self-quarantined after leaving campus,No,"No, I cancelled spring break plans",3,,2,The national government's inability to swiftly take action during this time of crisis is shameful.,6-12 months,,2022,Female,Prefer not to say,N/A,Leverett,Computer Science
Family home,,-5,300,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",8,I would have preferred more time before being told.,6,,2-3 months,,2021,Male,Hispanic or Latino,,Kirkland,"Computer Science,    Visual and Environmental Studies"
Personal apartment/housing,,-5,2500,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",5,"If at all possible, it would have been excellent if the move-out were made optional but strongly encouraged. Just would have a set a different tone for our last week on campus, even if most people still moved out. I'm happy with Harvard's policy towards commencement, but I wish the policy had been announced/addressed earlier. I know some people are concerned that Harvard won't follow through on a postponed ceremony, but I sincerely hope that they will.",4,"Trump's sort of all over the place. Calm, clear, consistent messaging and guidance would be helpful.",2-3 months,,2020,Female,White,,Pfoho,Economics
Family home,,-4,500,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",7,Harvard absolutely needs to implement a change to the grading policy to reduce students' stress about failing classes amid the difficult circumstances (especially for seniors who need the credit to graduate).,5,,12+ months,,2020,Female,,,,Astrophysics
Family home,,-4,400,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",6,Should've given us more time to move out since they obviously knew what they were going to do way before they told us.,4,They are not taking it seriously enough and need to push for a national lockdown. We are on track to have a disaster on our hands like Italy or Spain.,2-3 months,,2022,Female,Middle Eastern or North African,,Dunster,Chemistry
Family home,,-7,1000,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"Yes, but it was not the spring break trip I planned",7,,2,,2-3 months,,2022,Female,Asian,,Dunster,Computer Science
Family home,,-4,0,I have reliable internet access but not a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I did not have spring break plans",2,"I am still unsure whether sending home so many students who may have been exposed to the virus (although the closest acquaintances of students who tested positive were contacted) was the safest public health decision. However, I am most disappointed—but not surprised—at the administration’s handling of the decision to send students home. There was no warning that this action was being considered, which would have given students time to prepare and consider possible options in a less stressful manner should the university ultimately decide to send us home. Furthermore, the email sent by President Bacow did not in fact say that students were to move out by Sunday the 15th at 5pm, but rather that those who would be leaving campus for spring break were simply asked not to return. The move-out information—which again, was completely different than that provided by the President of the university—was sent by Dean Khurana in a “follow-up”, which tends to imply clarification rather than the conveyance of an entirely different message. Moreover, students and faculty were told at the same time of this decision, putting a lot of stress on faculty to suddenly completely rewrite syllabi and figure out how to handle the rest of the semester, despite hints during some faculty meetings that Zoom may need to be used in the future. Students and parents were then directed to an FAQ’s page with all the Q’s and no answers, causing absolute chaos in terms of financial aid, safety, logistical, and other important information. Students were also told to talk to their House deans if they had any questions not answered on the FAQ’s page (of which there were many), but because House staff also did not have any details as to what was happening, speaking to these administrators was utterly useless and largely frustrating. While I understand that this decision may have been best for the larger community and was constantly evolving, better planning before its implementation would have been prudent. The way this decision was implemented, with crucial administrators, faculty, and staff equally as in the dark as the blindsided students, made the entire move-out process incredibly complicated, frustrating, and stressful. Classes really should have been canceled university-wide to allow students sufficient time to get their affairs in order before the ridiculously soon move-out date, especially since parents and other third parties with jobs and obligations were also implicated in this and most students couldn’t focus on schoolwork after receiving the news anyway. I am extremely disappointed in the lack of communication and incredibly poor planning and execution of this response.  ",3,"The government did not take the initial threat seriously enough and is not currently doing enough to handle the situation. Companies should be forced to produce the necessary health equipment, the President has no idea what he is talking about and inspires no confidence, and people are not obeying quarantine as they should. The US is also too focused on itself and ya snot demonstrated much want to cooperate internationally despite political rhetoric, and worst of all, Congress continues to bicker like schoolchildren on a playground at a time of real global emergency. ",2-3 months,"No, thank you ",2021,Female,Hispanic or Latino,,Leverett,Sociology
Family home,,-4,300,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",7,,5,"They should be doing more tests, even of those that are symptom-free. People have been denied from getting tested.",3-6 months,,2020,Male,White,,Eliot,Neurobiology
A friend's house,,-4,0,I have a quiet space to work but not reliable internet access,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,Mild symptoms,No,I have self-quarantinined from family and friends,No,"Yes, but it was not the spring break trip I planned",7,"Initially, I thought that Harvard's response was really poor. However, after watching other universities around the country respond to coronavirus, it seems like Harvard's' response was among the better responses.",4,,6-12 months,,2020,Female,White,,Eliot,Social Studies
Family home,,-4,300,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,I have self-quarantinined from family and friends,No,"No, I cancelled spring break plans",8,,8,,2-3 months,,2023,Female,White,Canaday,,Biomedical Engineering
Family home,,-7,500,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal pass/fail,No,No,I have self-quarantinined from family and friends,Yes,"No, I cancelled spring break plans",8,"It was good to get us off campus early, but I wish they'd given us even just a day or two of more time, and I wish they had been clearer about moveout resources earlier as well. I also wish they implemented a grade change policy earlier because a lot of my friends and I this week are having to finish assignments and delayed midterms under the assumption that no change will be made.",5,"We should have started preventative measures earlier and enforced them more strictly, like China and South Korea did.",6-12 months,,2023,Female,Asian,Grays,N/A,Undecided
Family home,,-4,500,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Optional pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",8,,4,,3-6 months,,2020,Female,White,,Adams,Neurobiology
Family home,,-7,900,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",7,,2,,3-6 months,,2020,Female,White,,Dunster,Sociology
Family home,,-4,300,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,None of the above,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",4,,3,,3-6 months,,2023,,White,Canaday,,Undecided
Family home,,-4,0,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",3,They should have given some sort of heads up of what could possibly happen instead of just be like lol get out by Sunday and don't come back,7,,3-6 months,,2021,Female,White,,Pfoho,Psychology
A friend's house,,-4,0,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Universal A/A-,No,No,I have not self-quarantined after leaving campus,No,"Yes, but it was not the spring break trip I planned",4,I just think financial aid should have been given more warning then the same time the rest of us were told which kind of shows that Harvard didn’t care about helping the students that much with this transition,2,,3-6 months,,2020,Female,Black or African American,,Lowell,Applied Mathematics
Family home,,-4,1000,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,None of the above,Mild symptoms,No,I have self-quarantinined from family and friends,Yes,"No, I cancelled spring break plans",7,Good job. There was no right answer.,8,,3-6 months,,2022,Male,Asian,,Lowell,Economics
Family home,,-7,250,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",6,,3,,3-6 months,,2022,Female,White,,Leverett,Integrative Biology
Family home,,-7,100,I have reliable internet access and a quiet space to work,Watching recorded lecture,I have not made grading or enrollment changes,Universal A/A-,No,No,I have not self-quarantined after leaving campus,Yes,"No, I cancelled spring break plans",7,They should pay their workers. They also shouldve given us more than 5 days to leave.,1,The reason this is such a large issue is because the government failed to act.,2-3 months,,2021,Male,"White,Asian",,Dunster,Human Developmental and Regenerative Biology
Family home,,-4,500,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",0,"Harvard essentially gave its students an eviction notice. While some professors were accommodating, many were not. Additionally, Harvard has failed to provide us with information about students who were infected, putting those who immunocompromised family members in danger, especially because they denied on-campus housing to most students who asked for it. Finally, Harvard's lack of communication about changing grading policies - which greatly contributes to inequities among students - is irresponsible and unfair to students. ",3,Andrew Cuomo has been good. Trump has been VERY bad.,3-6 months,,2021,Female,White,,Dunster,History and Literature
Family home,,-5,150,I have a quiet space to work but not reliable internet access,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Universal pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",4,"The lack of communication with financial aid was very frustrating, especially since it was initially communicated that shipping/storage costs would not be covered at all and support for flight costs had the possibility of being added to our tuition costs in the future. This was later changed, but very emotionally and financially distressing.",3,,12+ months,,2020,Non-binary,Asian,,,
Family home,,-4,250,I have reliable internet access but not a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",3,"I think Harvard's initial response was poor. When they sent the email out telling everyone to evacuate campus, they provided very little guidance and stirred A LOT of panic amongst the students. It was only later that they began to provide resources and support. While I think they made the right call, and while I understand that they were making a sudden decision, they could have sent an email with more initial guidance and support to the students. ",4,,2-3 months,,2020,Female,White,Matthews,Kirkland,English
Family home,,-7,100,I have reliable internet access but not a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",3,"There was little compassion and empathy showed to low income, first generation students from the administration when the official move-out date was sent out. ",3,,2-3 months,"I don't see much talk about working class people on the media. My single mom works a minimum wage job and just got laid off, she is one of thousands in the same situation and politicians don't seem to care. ",2023,Female,Hispanic or Latino,Weld,N/A,History
Other (please specify),Quarantine in home country,8,200,I have a quiet space to work but not reliable internet access,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,I have self-quarantinined from family and friends,No,"No, I cancelled spring break plans",10,"Drastic but necessary. De-densification with so little notice was jarring for many undergraduates, leaving many scrambling for flights. ",9,,2-3 months,,2021,Female,Asian,,Dudley,Molecular and Cellular Biology
Family home,,6,50,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,None of the above,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",6,,8,,6-12 months,,2023,Male,Asian,Grays,,Computer Science
Personal apartment/housing,,-4,1000,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",8,"Coming to terms with the response was difficult at first, but I think their actions were completely justified. The only issue I have currently is that they are not making things easy for students with on-campus work. I cannot move back home, so I am renting, and while the housing refund will help for the remainder of the semester, I have lost about $400 a week in income and the university is reluctant to assist financially in that aspect.",6,"I honestly wish they would implement more restrictions, and be a bit more stern in recommendations for public health.",3-6 months,"I know this is difficult for everyone for different reasons, but my main concern is my family. I can't go home and if I did I would be afraid to potentially spread the virus to my mom. I just wish people would take the situation more seriously.",2020,Female,White,N/A,Cabot,Psychology
Family home,,-4,355,I have neither a quiet space to work nor reliable internet access,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",2,"I think they should have announced the news to offices and faculty first. Financial aid discovered the same time we did and this had a huge effect. There were also basic, common sense questions they should have predicted students would ask, including transportation, storage, and financial aid.  Being from a low-income household, I felt very disadvantaged during this time. After receiving the news, within a few hours all of my financially-stable friends had all of their transportation and storage plans made. I was not able to make these until a few days after we received the news. Additionally, the Registrar promised $200 for storage without specifying how that would be received. Since Olympia charged $255 for 4 items I went with OnDemand Storage which was cheaper for 4 items. This was before UC announced its $55 coverage. Now after contacting all the offices I am stuck with the burdening storage fee and was not compensated anything for the cost of storage. ",1,,12+ months,,2023,Female,White,Hollis,,Molecular and Cellular Biology
Family home,,-4,0,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",8,,7,Just noting that I'm from Canada,3-6 months,,2020,Female,White,,Eliot,Romance Languages and Literatures
Family home,,-6,180,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,None of the above,No,No,I have not self-quarantined after leaving campus,No,"No, I did not have spring break plans",10,,10,,3-6 months,,2023,Male,Black or African American,Canaday,N/A,"    Social Studies,    Sociology"
Family home,,,,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"Yes, I went on my planned spring break trip",8,,4,,2-3 months,,2023,Female,White,Hurlbut,,
Other (please specify),Relative's home (but not immediate family),-4,1000,I have neither a quiet space to work nor reliable internet access,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,None of the above,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",4,"Students should have universal pass, no student should be afraid to fail in a global crisis in which friends, family, and we may be at risk of dying. ",1,Horrendous. The US' response has been disgusting.,12+ months,I'm dismayed at the selfishenss and lack of compassion I have seen many people demonstrate.,2022,Female,White,Hollis,Lowell,Psychology
Family home,,-4,50,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",5,"It seemed very disorganized at first. Many of my professors commented on how they heard of the news at around the same time as the students, which I believe is inconsiderate to their teaching plans. There was a lot of confusion among moving out at first, but eventually more assistance was provided by the college. Also, having class while having to move out made packing difficult.",2,"Our federal government has seemed very irresponsible and unprepared for this pandemic, and it still seems as though our national leaders are wrongfully arrogant about not enforcing certain preventative policies. ",3-6 months,"Both of my parents work in the medical field, so I am worried about them contracting the virus through their jobs and having serious health issues because of it. ",2022,Male,Hispanic or Latino,,Cabot,Undecided
Family home,,-4,100,I have a quiet space to work but not reliable internet access,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",8,,2,,3-6 months,,2020,Female,Asian,N/A,Kirkland,Environmental Science and Public Policy
Family home,,-7,200,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I did not have spring break plans",7,,2,,3-6 months,,2023,Female,Asian,N/A,N/A,Neurobiology
Family home,,-7,200,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",5,"They tried, I understand. They fixed policies on finaid after the fact. They’re still trying with EPC decisions. ",2,They should’ve been way stricter way earlier. Domestic travel still isn’t shut down. Trump keeps denying it.,2-3 months,"The average age is 80 of those who die from contracting. Average life expectancy in US is 78. It’s important yes, but if people keep being selfish and not staying in and extending this, everything will go even worse than it is. ",2021,Female,Asian,,,
Family home,,11,50,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",8,,4,,3-6 months,,2023,Male,Asian,Thayer,,Social Studies
Family home,,-5,150,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Optional pass/fail,No,No,I have self-quarantinined from family and friends,No,"No, I cancelled spring break plans",7,"It became clear in the following days after Harvard ended the spring semester that Harvard was quite proactive and precedent setting. In that sense, I'm sympathetic to the administration and how they handled communicating with the students. However, I feel that there could have been more initial communication as there were many people who were scared about the sudden forced exodus without much support.",3,The US was very reticent in recognizing the severity of the issue (and is still an issue now). Testing efforts and the provision of resources to medical centers and hospitals is still not adequate for the magnitude of the threat and I'm afraid that it's too late.,3-6 months,,2023,Male,Asian,Grays,N/A,Computer Science
